tilt,y_com,axis,best,r2,agree,status
1.0,-2.0,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,-2.0,y,icpt_y_over_ballspeed,0.9515,0.915,recovered
1.0,-2.0,z,bz_icpt_and_plane,0.5619,0.687,fallback
1.0,-1.5,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,-1.5,y,icpt_y_over_ballspeed,0.9515,0.915,recovered
1.0,-1.5,z,bz_icpt_and_plane,0.5609,0.685,fallback
1.0,-1.0,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,-1.0,y,icpt_y_over_ballspeed,0.9515,0.915,recovered
1.0,-1.0,z,bz_icpt_and_plane,0.5599,0.684,fallback
1.0,-0.5,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,-0.5,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
1.0,-0.5,z,bz_icpt_and_plane,0.5588,0.683,fallback
1.0,0.0,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,0.0,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
1.0,0.0,z,bz_icpt_and_plane,0.5575,0.682,fallback
1.0,0.5,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,0.5,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
1.0,0.5,z,bz_icpt_and_plane,0.5561,0.681,fallback
1.0,1.0,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,1.0,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
1.0,1.0,z,bz_icpt_and_plane,0.5545,0.68,fallback
1.0,1.5,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,1.5,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
1.0,1.5,z,bz_icpt_and_plane,0.5527,0.679,fallback
1.0,2.0,x,along_bat_plus_icpt,0.6947,0.87,fallback
1.0,2.0,y,icpt_y_over_ballspeed,0.9514,0.914,recovered
1.0,2.0,z,bz_icpt_and_plane,0.5506,0.678,fallback
-1.0,-2.0,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,-2.0,y,icpt_y_over_ballspeed,0.9515,0.915,recovered
-1.0,-2.0,z,bz_icpt_and_plane,0.5619,0.69,fallback
-1.0,-1.5,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,-1.5,y,icpt_y_over_ballspeed,0.9515,0.915,recovered
-1.0,-1.5,z,bz_icpt_and_plane,0.5629,0.689,fallback
-1.0,-1.0,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,-1.0,y,icpt_y_over_ballspeed,0.9515,0.915,recovered
-1.0,-1.0,z,bz_icpt_and_plane,0.5643,0.688,fallback
-1.0,-0.5,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,-0.5,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
-1.0,-0.5,z,bz_icpt_and_plane,0.5649,0.686,fallback
-1.0,0.0,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,0.0,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
-1.0,0.0,z,bz_icpt_and_plane,0.5645,0.686,fallback
-1.0,0.5,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,0.5,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
-1.0,0.5,z,bz_icpt_and_plane,0.5633,0.685,fallback
-1.0,1.0,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,1.0,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
-1.0,1.0,z,bz_icpt_and_plane,0.5615,0.683,fallback
-1.0,1.5,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,1.5,y,icpt_y_over_ballspeed,0.9515,0.914,recovered
-1.0,1.5,z,bz_icpt_and_plane,0.5593,0.682,fallback
-1.0,2.0,x,along_bat_plus_icpt,0.6106,0.864,fallback
-1.0,2.0,y,icpt_y_over_ballspeed,0.9514,0.914,recovered
-1.0,2.0,z,bz_icpt_and_plane,0.5567,0.681,fallback
