axis,candidate,cost,n_features,n,r2,label_agreement,slope,all_swing,chosen,status
x,icpt_x_body_by_stand,1,1,17704,0.3,0.729,1.0,True,False,fallback
x,icpt_x_body,1,1,17704,0.299,0.728,0.634,True,False,fallback
x,icpt_x_field,1,1,17704,0.024,0.727,0.045,True,False,fallback
x,icpt_xy_body,2,2,17704,0.454,0.771,1.0,True,False,fallback
x,ball_lateral_at_icpt,2,3,17704,0.31,0.733,1.0,True,False,fallback
x,along_bat_from_com,3,1,17704,0.068,0.715,1.0,True,False,fallback
x,along_bat_plus_icpt,3,4,17704,0.694,0.87,1.0,True,False,fallback
x,x_full_geometry,4,9,17704,0.716,0.868,1.0,True,True,fallback
y,icpt_y_over_ballspeed,1,1,17704,0.951,0.915,1.0,True,True,recovered
y,icpt_y_by_stand,1,1,17704,0.951,0.916,1.0,True,False,recovered
y,icpt_y_raw,1,1,17704,0.95,0.916,0.701,True,False,recovered
y,attack_direction,2,1,17704,0.902,0.893,1.0,True,False,recovered
y,icpt_y_and_x,2,2,17704,0.969,0.941,1.0,True,False,recovered
y,icpt_y_attack_dir,2,2,17704,0.953,0.918,1.0,True,False,recovered
y,icpt_y_attack_dir_x,2,4,17704,0.977,0.947,1.0,True,False,recovered
y,time_based,3,4,17704,0.978,0.947,1.0,True,False,recovered
z,attack_minus_descent,1,1,17704,0.187,0.505,-0.146,True,False,fallback
z,z_above_plane,1,1,17704,0.01,0.435,-0.055,True,False,fallback
z,bz_icpt_and_plane,2,4,17704,0.558,0.683,1.0,True,False,fallback
z,z_plane_and_tilt,2,4,17704,0.318,0.603,1.0,True,False,fallback
z,z_with_miss,3,3,17704,0.475,0.603,1.0,False,False,fallback
z,z_miss_decomp,4,6,17704,0.666,0.71,1.0,False,True,fallback
z,z_zone_relative,4,7,17704,0.59,0.695,1.0,True,False,fallback
